"iso2c","year","federal"
"CV",2007,NA
"CV",2008,NA
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1980,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1981,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1982,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1983,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1984,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1985,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1986,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1987,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1988,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1989,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1990,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1991,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1992,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1993,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1994,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1995,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1996,0
"CY",1997,0
"CY",1998,0
"CY",1999,0
"CY",2000,0
"CY",2001,0
"CY",2002,0
"CY",2003,0
"CY",2004,0
"CY",2005,0
"CY",2006,0
"CY",2007,0
"CY",2008,0
"CY",2009,0
"CZ",1993,NA
"CZ",1993,NA
"CZ",1994,NA
"CZ",1995,NA
"CZ",1996,0
"CZ",1997,0
"CZ",1998,0
"CZ",1999,0
"CZ",2000,0
"CZ",2001,0
"CZ",2002,0
"CZ",2003,0
"CZ",2004,NA
"CZ",2005,NA
"CZ",2006,NA
"CZ",2007,NA
"CZ",2008,NA
"CZ",2009,NA
"DE",1980,NA
"DE",1980,NA
"DE",1980,NA
"DE",1980,1
"DE",1980,1
"DE",1980,1
"DE",1980,NA
"DE",1980,NA
"DE",1980,NA
"DE",1980,NA
"DE",1980,NA
"DE",1980,NA
"DE",1980,1
"DE",1980,1
"DE",1980,1
"DE",1980,1
"DE",1980,1
"DE",1980,1
"DE",1981,NA
"DE",1981,NA
"DE",1981,NA
"DE",1981,1
"DE",1981,1
"DE",1981,1
"DE",1981,NA
"DE",1981,NA
"DE",1981,NA
"DE",1981,1
"DE",1981,1
"DE",1981,1
"DE",1981,1
"DE",1981,1
"DE",1981,1
"DE",1981,NA
"DE",1981,NA
"DE",1981,NA
"DE",1982,1
"DE",1982,1
"DE",1982,1
"DE",1982,NA
"DE",1982,NA
"DE",1982,NA
"DE",1982,NA
"DE",1982,NA
"DE",1982,NA
"DE",1982,1
"DE",1982,1
"DE",1982,1
"DE",1982,1
"DE",1982,1
"DE",1982,1
"DE",1982,NA
"DE",1982,NA
"DE",1982,NA
"DE",1983,1
"DE",1983,1
"DE",1983,1
